Year,Consumption
1920,57125
1921,53656
1922,61816
1923,72113
1924,76651
1925,85513
1926,95164
1927,102404
1928,109150
1929,117914
1930,115783
1931,110467
1932,100353
1933,103682
1934,111508
1935,120124
1936,137366
1937,147941
1938,143375
1939,162921
1940,181706
1941,210389
1942,235477
1943,270215
1944,283718
1945,275028
1946,276044
1947,313926
1948,343410
1949,351831
1950,396346
1951,442046
1952,472071
1953,522419
1954,553727
1955,633078
1956,689352
1957,719957
1958,728070
1959,798858
1960,848723
1961,883749
1962,947018
1963,1011515
1964,1085696
1965,1157442
1966,1250536
1967,1317001
1968,1435398
1969,1553829
1970,1641731
